"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","cogR","cogMch","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
14,45,0,"no tester","Completed (31)","2057151                     ",NA,64554,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"They both care about each other, both consensual, took precautions, jointly agree and did not affect their relationship negatively in the aftermath                                                                                                           ","no harm mentioned","norms not mentioned",6,"Yes","No","Unsure","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"1: Not at all",6,"9P87L2D                                                                                                                                                                                                                                                       ","neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","2","6","6",4,"No","No",6,7,3,4,2,6,5,5,5,7,7,2,5,7,5,2,4,6,"Yes","Ethics and Religious Beliefs as a module in B.Ed                                                                                                                                                                                                              ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,2057309,205731","Not flipped","Flipped","HTML",NA,NA,"8adae916052745c7ab4896987c615e6a                                                                                                ","English","Not cleaned",1488212840,"2017-02-27 16:27:20           ","2017-02-28 10:23:14           ","0000-00-00 00:00:00           ","cog_load","right","right","not wrong","not wrong",7,6,8,5,5,5,8,8,6,114,1.33333333333333,"neutral","true","true","true","true","neutral","9P87L2D                                                                                                                                                                                                                                                       ",FALSE,"wrong",7,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","unstated","unstated","no reason","reason","reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
15,35,0,"no tester","Completed (31)","2057151                     ",NA,2971,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","As how can you justify whether or not someone gets hurt?  They will lack self-confidence in themselves and will be very shy                                                                                                                                   ",4,"If they feel comfortable with each other and respect each other they can make love. However, if they ever break up it is important that they trust each other not to go spreading rumors about what they did in the relationship.                             ","no harm mentioned","norms not mentioned",2,"Yes","No","Unsure","Yes","No","Unsure","Yes","No","No, I have no reason","There is nothing wrong.","Just because no one else knows nor was affected does not make it alright                                                                                                                                                                                      ","statement without reason",NA,"There is nothing wrong.",4,"4: neutral",4,"9P8R2L7D                                                                                                                                                                                                                                                      ","Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","4: neutral","4: neutral",3,"No","No",4,2,8,8,8,3,6,6,4,4,5,6,2,2,6,6,6,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,205713","Not flipped","Not flipped","HTML",NA,NA,"d77899f14acf1d38285d4fa128a176f2                                                                                                ","English","Not cleaned",1488188881,"2017-02-27 09:48:01           ","2017-02-27 10:37:32           ","0000-00-00 00:00:00           ","cog_load","neutral","neutral","not wrong","not wrong",2,2,2,4,4,6,4,4,4,63,-1.5,"wrong","true","true","true","false","difficult","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","unstated","unstated","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","nothing wrong",NA,NA
16,14,0,"no tester","Completed (31)","2057151                     ",NA,617,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"Incest is wrong on so many different levels                                                                                                                                                                                                                   ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","No, I have no reason","Yes","No","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",3,"5",3,"98PR2F7D                                                                                                                                                                                                                                                      ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","1: Not at all","2","3","6",3,"No","No",3,2,3,4,2,2,2,2,6,6,6,2,3,6,8,7,3,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Flipped","Not flipped","HTML",NA,NA,"55360c6885225931a6e28a3635ca0899                                                                                                ","English","Not cleaned",1486561664,"2017-02-08 13:47:44           ","2017-02-08 13:58:01           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",7,6,8,8,8,4,8,3,7,103,0.722222222222222,"wrong","true","true","true","false","difficult","98PR2F7D                                                                                                                                                                                                                                                      ",FALSE,"wrong",7,"wrong","wrong","wrong","not wrong","wrong","wrong",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","reason","no reason","unstated","no reason","unstated","reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
17,19,0,"no tester","Completed (31)","2057151                     ",NA,833,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Even if it doesnt cause physical harm it can cause other kinds of upset for society                                                                                                                                                                           ",1,"it is suppose to be a connection between two people who love each other not a brother and sister.                                                                                                                                                             ","no harm mentioned","norms mentioned",4,"No","Yes","Unsure","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",1,"1: Not at all",4,"PS7                                                                                                                                                                                                                                                           ","Extremely difficult","Yes, I am able to believe this","No, I am not able to believe this","harm","1: Not at all","1: Not at all","4: neutral","4: neutral",1,"Yes","No",1,1,9,9,9,9,9,9,9,1,1,9,1,1,1,9,9,1,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Flipped","Not flipped","HTML",NA,NA,"0117fbecb585d6f139487ed8b47f090b                                                                                                ","English","Not cleaned",1486561700,"2017-02-08 13:48:20           ","2017-02-08 14:02:13           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",1,1,1,1,1,1,1,1,1,26,-3.55555555555556,"wrong","true","false","false","false","difficult","PS7                                                                                                                                                                                                                                                           ",FALSE,"wrong",2,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
18,21,0,"no tester","Suspended (22)","2057150                     ",NA,812,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violence should never be used as it does not sort any problems.                                                                                                                                                                                               ",1,"They are brother and sister.                                                                                                                                                                                                                                  ","no harm mentioned","norms mentioned",6,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",2,"3",6,"9P8R2L79                                                                                                                                                                                                                                                      ","Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","7: Extremely Irritated","6","5","6",1,"No","No",8,7,3,5,5,4,4,5,6,6,6,6,6,5,4,4,5,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Not flipped","Flipped","HTML",NA,NA,"067e5129daac9d5775d90074731a5a17                                                                                                ","English","Not cleaned",1486561718,"2017-02-08 13:48:38           ","2017-02-08 14:02:14           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",7,5,5,6,5,4,4,6,5,98,0.444444444444445,"wrong","true","false","false","false","easy","9P8R2L79                                                                                                                                                                                                                                                      ",FALSE,"wrong",7,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
19,22,0,"no tester","Completed (31)","2057151                     ",NA,710,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"its just gross and think about the possible children that they could produce if they continuted and became more relaxed about birth control.                                                                                                                  ","harm mentioned","norms not mentioned",6,"No","Yes","Yes, I have a reason","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",2,"2",6,"9r8d7                                                                                                                                                                                                                                                         ","Extremely difficult","No, I am not able to believe this","Yes, I am able to believe this","harm","5","2","5","6",5,"No","No",7,7,2,2,2,8,8,8,7,9,1,9,7,9,8,8,6,9,"No","-99                                                                                                                                                                                                                                                           ","yes","got                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057218,2057218,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057130,205713","Flipped","Flipped","HTML",NA,NA,"ca4925f85d1c38fd6ef72e1d90a471d3                                                                                                ","English","Not cleaned",1486561719,"2017-02-08 13:48:39           ","2017-02-08 14:00:29           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",8,8,8,2,2,3,1,2,4,103,0.722222222222222,"right","true","true","true","false","difficult","9r8d7                                                                                                                                                                                                                                                         ",FALSE,"wrong",5,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","reason","unstated","unstated","no reason","unstated","reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
20,38,0,"no tester","Suspended (22)","2057150                     ",NA,2253,NA,NA,"Yes","Female",21,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating an established moral norm is wrong either way whether there is a possibility people involved may be harmed or not. It is a reflection of you as a person whether you chose to violate these norms but everyone should possess the ability to display",1,"I believe this act is morally wrong. The feelings they have for each other should not extend further than familial. It was wrong to act upon the feelings they possessed at that particular moment. It seems as though the circumstances they found themselves","no harm mentioned","norms mentioned",6,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",1,"2",5,"9P8R2L7D                                                                                                                                                                                                                                                      ","Extremely easy","No, I am not able to believe this","No, I am not able to believe this","harm","6","7: Extremely confused","4: neutral","6",1,"Yes","No",4,3,4,3,3,2,6,8,8,6,7,3,5,5,5,7,5,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Flipped","Flipped","HTML",NA,NA,"6fc6d1e529f9236266c6c340abdb0a01                                                                                                ","English","Not cleaned",1488194131,"2017-02-27 11:15:31           ","2017-02-27 11:53:09           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",6,7,7,4,2,2,7,3,5,88,-0.111111111111111,"wrong","true","false","false","false","easy","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","unstated","unstated","reason","no reason","unstated","no reason","no reason","reason",FALSE,"admission","dumbfounded","wrong","wrong"
21,42,0,"no tester","Completed (31)","2057151                     ",NA,1180,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I think that it shouldn't be considered wrong just because someone has been hurt                                                                                                                                                                              ",3,"I think that it was wrong for them to do that. I don't personally believe it is okay                                                                                                                                                                          ","no harm mentioned","norms not mentioned",6,"No","Yes","Unsure","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",2,"1: Not at all",5,"9R8P2L7D                                                                                                                                                                                                                                                      ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","6","5","6",5,"Yes","No",2,3,2,5,5,2,3,7,4,3,6,7,3,3,3,6,5,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,205713","Not flipped","Flipped","HTML",NA,NA,"a1698fa06759c318c40388732f497aa8                                                                                                ","English","Not cleaned",1488209264,"2017-02-27 15:27:44           ","2017-02-27 15:47:24           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",8,5,5,7,3,6,3,4,5,77,-0.722222222222222,"right","true","true","true","false","difficult","9R8P2L7D                                                                                                                                                                                                                                                      ",FALSE,"wrong",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","no reason","unstated","no reason","reason","reason",FALSE,"admission","dumbfounded","wrong","wrong"
22,41,0,"no tester","Completed (31)","2057151                     ",NA,853,NA,NA,"Yes","Female",21,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Family have a bond already you shouldn't feel pressured into doing something to feel closer                                                                                                                                                                   ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","A brother and a sister should not be brought up in an environment where being sexually active with each other would even cross their mind.                                                                                                                    ","statement without reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"9P8L                                                                                                                                                                                                                                                          ","Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","3","5","6","7: Extremely",4,"No","No",5,5,1,5,3,6,1,1,3,7,7,3,7,7,8,1,1,8,"Yes","Part of B.Ed 2 and CRE                                                                                                                                                                                                                                        ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,2057132,2057133,2057134,205730","Flipped","Not flipped","HTML",NA,NA,"064d7a2e74042d4e31c6144c4d744ba1                                                                                                ","English","Not cleaned",1488208393,"2017-02-27 15:13:13           ","2017-02-27 15:27:26           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",9,5,7,9,9,7,7,9,9,131,2.27777777777778,"neutral","true","true","true","false","difficult","9P8L                                                                                                                                                                                                                                                          ",FALSE,"wrong",4,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
23,15,0,"no tester","Completed (31)","2057151                     ",NA,1156,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","The effects of violating an established moral norm can harm people in different ways, emotionally, socially and physically. You cannot guarantee no one will be harmed due to peoples different responses.                                                    ",1,"sexual relationships between family members is not right, family members have a particular role and this is not one.                                                                                                                                          ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","As I said previously, the role of siblings and family members is not to provide sexual relationships. Despite the fact that these were two consenting adults the thought of the incest relationship makes me uncomfortable. It is not meant to be. They are bl","tautological reason","changed","It's wrong but I can't think of a reason.",2,"4: neutral",6,"9P82RL7D                                                                                                                                                                                                                                                      ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","3","6","7: Extremely",2,"No","No",4,5,1,2,3,5,3,6,7,6,3,3,3,7,6,3,3,9,"Yes","Ethics module in philosophy                                                                                                                                                                                                                                   ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,2057132,205713","Not flipped","Flipped","HTML",NA,NA,"2f7580782cc3608c2429d9512783eafa                                                                                                ","English","Not cleaned",1486561673,"2017-02-08 13:47:53           ","2017-02-08 14:07:09           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",9,8,7,7,4,3,7,7,7,107,0.944444444444445,"wrong","true","false","false","false","difficult","9P82RL7D                                                                                                                                                                                                                                                      ",FALSE,"wrong",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"unsupported declaration","reasons","wrong","wrong"
24,9,0,"no tester","Completed (31)","2057151                     ",NA,60071,NA,NA,"Yes","Male",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Because whether harm comes to someone or not is irrelevant, when something is wrong it should not be allowed to continue                                                                                                                                      ",2,"Even though it has brought them together, the possibilities of the situation going wrong is very high. If pregnancy occurs, then the child may have deformities, and would struggle to live. It is also inherently wrong for brother and sister to make love  ","harm mentioned","norms not mentioned",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Because simply for not affecting someone immediately or doing something fun does not make it right. Matters may not be black and white but it is still wrong of siblings to have a relationship, even for a night, like that                                  ","statement without reason",NA,"It's wrong and I can provide a valid reason.",2,"1: Not at all",6,"9P8R2L7D                                                                                                                                                                                                                                                      ","neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","3","7: Extremely",4,"No","No",4,3,2,4,5,8,2,6,7,7,8,2,3,7,6,6,3,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057123,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,205713","Flipped","Not flipped","HTML",NA,NA,"9d480ee9560f665155bf6c3b4c7d952a                                                                                                ","English","Not cleaned",1486483995,"2017-02-07 16:13:15           ","2017-02-08 08:54:26           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",8,6,5,8,4,3,8,4,7,108,1,"neutral","true","true","true","false","neutral","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
25,16,0,"no tester","Completed (31)","2057151                     ",NA,841,NA,NA,"Yes","Female",44,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","think it is easier not to overstep as consequence may have later effect                                                                                                                                                                                       ",1,"Perhaps they have feelings for each other but I dont think it is acceptable I feel it may be something they have later consequences on their relationships and personal development                                                                           ","harm mentioned","norms not mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","I think there are certain situations where you may have attractions to people when you are in a relationship that are unrelated to you but that in a family setting that it could have impact. I believe it is unnatural. I have worked in situations where pe","statement without reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",6,"98p3rtv                                                                                                                                                                                                                                                       ","neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","4: neutral","4: neutral","7: Extremely",2,"No","No",6,6,8,2,2,7,2,8,2,7,8,3,5,7,7,7,5,7,"Yes","College classes                                                                                                                                                                                                                                               ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057107,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,205713","Flipped","Flipped","HTML",NA,NA,"9ea40fae2bc898c05c082b437aad0db3                                                                                                ","English","Not cleaned",1486561692,"2017-02-08 13:48:12           ","2017-02-08 14:02:13           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",2,8,8,8,2,8,7,3,5,111,1.16666666666667,"wrong","true","true","true","false","neutral","98p3rtv                                                                                                                                                                                                                                                       ",FALSE,"wrong",4,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
26,49,0,"no tester","Suspended (22)","2057149                     ",NA,2282,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It still isn't okay to do something even if no one is harmed.                                                                                                                                                                                                 ",1,"There could be serious consequences of their actions.                                                                                                                                                                                                         ","harm mentioned","norms not mentioned",7,"No","Yes","Unsure","No","Yes","Unsure","Yes","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","If there were any complications after the event they would have affected others.                                                                                                                                                                              ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",6,"9P8R2L7                                                                                                                                                                                                                                                       ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","6","6","5","6",2,"No","No",8,6,4,3,3,2,5,8,4,7,8,3,7,9,6,4,4,5,"Yes","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057105,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,205713","Flipped","Flipped","HTML",NA,NA,"8e2b71b8e5eee83277c00111077f8afe                                                                                                ","English","Not cleaned",1488275651,"2017-02-28 09:54:11           ","2017-02-28 10:33:31           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",6,7,7,5,2,6,7,6,6,110,1.11111111111111,"wrong","true","true","true","false","difficult","9P8R2L7                                                                                                                                                                                                                                                       ",FALSE,"wrong",7,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","unstated","unstated","no reason","reason","unstated","no reason","no reason","no reason",FALSE,"reasons","reasons","wrong","wrong"
