"InCS","NFC"
"It's wrong and I can provide a valid reason.",0
"There is nothing wrong.",-0.111111111111111
"It's wrong and I can provide a valid reason.",-0.444444444444445
"It's wrong and I can provide a valid reason.",0
"It's wrong and I can provide a valid reason.",0.111111111111111
"It's wrong but I can't think of a reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",-0.111111111111111
"It's wrong and I can provide a valid reason.",0.555555555555555
"It's wrong and I can provide a valid reason.",0.388888888888889
"It's wrong and I can provide a valid reason.",-0.333333333333333
"It's wrong and I can provide a valid reason.",2.44444444444444
"It's wrong but I can't think of a reason.",-0.722222222222222
"It's wrong and I can provide a valid reason.",-0.444444444444445
