"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","v_180","v_181","Hrm_rel","Hrm_oth","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
177,97,0,"no tester","Completed after break (32)","3212316                     ",NA,-1,NA,NA,"Yes","Male",23,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",5,"It's the right of the individual to decide. The individual is sovereign and can make decisions with other individuals.                                                                                                                                        ",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"4: neutral",5,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","4: neutral","4: neutral","5","3","3","No","No",8,8,2,2,2,7,3,2,2,7,7,1,7,7,8,2,2,7,"Yes","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212277,3212312,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212298,3212299,3212269,3212269,3212270,321227","Not flipped","Flipped","control","right","right","not wrong","not wrong",8,8,8,7,8,8,9,8,8,138,2.66666666666667,"missing","0",FALSE,"wrong",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
178,99,0,"no tester","Completed (31)","3212316                     ",NA,497,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Not nice to do                                                                                                                                                                                                                                                ",1,"Not right to do                                                                                                                                                                                                                                               ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They are brother and sister                                                                                                                                                                                                                                   ",1,"1: Not at all",7,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","5","4: neutral","7: Extremely","7: Extremely","7: Extremely right","No","No",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Yes","College                                                                                                                                                                                                                                                       ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,3212300,3212301,321230","Not flipped","Flipped","control","wrong","wrong","wrong","wrong",5,5,5,5,5,5,5,5,5,90,0,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
179,100,0,"no tester","Completed (31)","3212316                     ",NA,520,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.",".                                                                                                                                                                                                                                                             ",1,"I don’t believe making love with a sibling is morally correct                                                                                                                                                                                               ",7,"Yes","Yes","Unsure","Yes","No","Unsure","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"4: neutral",4,"0",NA,"No, I am not able to believe this","Yes, I am able to believe this","4: neutral","7: Extremely confused","4: neutral","7: Extremely","4: neutral","Yes","No",7,6,2,3,6,2,4,4,6,6,8,3,6,6,7,3,2,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212312,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212298,3212299,3212300,3212301,321230","Not flipped","Not flipped","control","wrong","neutral","wrong","not wrong",8,7,4,6,6,4,7,7,8,111,1.16666666666667,"missing","0",FALSE,"wrong",0,"wrong","wrong","not wrong","not wrong","not wrong","not wrong",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,TRUE,1,"unstated","unstated","unstated","reason","unstated","unstated","no reason","no reason","reason",FALSE,"nothing wrong","nothing wrong","wrong",NA
180,101,0,"no tester","Completed (31)","3212316                     ",NA,741,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It doesn't matter yet I do someone doesn't get harmed in the act, expressing your opinion in a respectful way is much more accepted than making fun of someone else's view                                                                                    ",1,"As brother and sister they have a moral obligation to respect eachother in specific ways, not in the way they expressed                                                                                                                                       ",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",3,"3",3,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","3","2","4: neutral","5","4: neutral","No","No",5,7,3,3,3,4,2,3,5,7,6,4,5,5,6,4,4,6,"Yes","I have studied philosophy in my first year of college                                                                                                                                                                                                         ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212298,3212299,3212300,3212301,3212302,321230","Not flipped","Not flipped","control","wrong","wrong","wrong","wrong",7,7,7,8,7,5,6,6,6,110,1.11111111111111,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
181,103,0,"no tester","Completed (31)","3212316                     ",NA,841,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If you know something is wrong then you shouldn't do it.                                                                                                                                                                                                      ",1,"Since they are related they should have never done it in the first place.                                                                                                                                                                                     ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","What they did was incest and I morally believe that is wrong.  That is how I was raised and I would never do anything with my sibling.  However I also believe that people will do what they want and as it is their life they can do whatever they want.  The",1,"1: Not at all",7,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","4: neutral","1: Not at all","3","5","4: neutral","No","No",4,4,4,7,5,3,9,4,6,5,8,3,7,5,6,4,4,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,3212300,3212301,321230","Not flipped","Not flipped","control","wrong","wrong","wrong","wrong",6,3,5,1,6,4,7,6,6,91,0.0555555555555554,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
182,104,0,"no tester","Completed (31)","3212316                     ",NA,864,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","People shouldn’t do bad things at all because there still is a possibility that someone gets hurt                                                                                                                                                           ",1,"Just no. That is so many levels of wrong I actually feel a bit sick                                                                                                                                                                                           ",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","If the contraception didn’t work they would have deformed children and that is unfair also it is sick                                                                                                                                                       ",1,"1: Not at all",7,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","7: Extremely Irritated","7: Extremely confused","7: Extremely","7: Extremely","1: Extremely wrong","Yes","Yes",1,2,6,5,7,3,9,9,8,4,3,4,1,1,1,9,5,6,"Yes","Edu156                                                                                                                                                                                                                                                        ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212312,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,3212300,321230","Flipped","Not flipped","control","wrong","wrong","wrong","wrong",4,5,3,1,1,2,6,1,5,50,-2.22222222222222,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
183,106,0,"no tester","Completed (31)","3212316                     ",NA,952,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Just because no one is harmed doesn’t make it right                                                                                                                                                                                                         ",1,"It’s morally wrong                                                                                                                                                                                                                                          ",7,"No","Yes","Unsure","No","Yes","Unsure","No","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",1,"4: neutral",4,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","7: Extremely Irritated","7: Extremely confused","4: neutral","7: Extremely","1: Extremely wrong","No","No",1,5,5,8,6,2,8,8,5,4,6,6,2,2,4,8,7,2,"Yes","Ethics module                                                                                                                                                                                                                                                 ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212312,3212312,3212312,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212289,3212289,3212290,3212291,3212292,3212289,3212289,3212289,3212288,321228","Not flipped","Not flipped","control","wrong","wrong","wrong","wrong",5,2,4,2,2,5,4,2,3,57,-1.83333333333333,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
184,108,0,"no tester","Completed (31)","3212316                     ",NA,663,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is a moral norm for a reason and therefore no matter how fun it may be consequences are still involved                                                                                                                                                     ",1,"1. It isn’t normal   2. It’s just not right biologically or ethically                                                                                                                                                                                     ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It’s wrong biologically, siblings were not born to have sex.                                                                                                                                                                                                ",2,"1: Not at all",7,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","5","5","6","7: Extremely","2","Yes","Yes",7,8,1,2,3,8,4,3,6,7,7,2,8,8,7,3,3,7,"Yes","Modules in college on Ethics and Schools & Society                                                                                                                                                                                                            ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,3212300,3212301,321230","Flipped","Not flipped","control","wrong","wrong","wrong","wrong",9,8,7,6,7,4,8,7,7,130,2.22222222222222,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
185,109,0,"no tester","Completed (31)","3212316                     ",NA,526,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Established moral norms should not be violated regardless of outcome                                                                                                                                                                                          ",1,"Brother and sister                                                                                                                                                                                                                                            ",5,"Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Brother and sister relationship is immoral                                                                                                                                                                                                                    ",1,"1: Not at all",5,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","6","7: Extremely confused","7: Extremely","7: Extremely","3","No","No",8,6,3,4,4,3,4,7,7,5,6,6,3,5,3,7,5,2,"Yes","As part of college course                                                                                                                                                                                                                                     ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212279,3212281,3212282,3212283,3212283,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,321230","Flipped","Not flipped","control","wrong","wrong","wrong","wrong",7,6,6,6,3,3,4,3,5,84,-0.333333333333333,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","reason","unstated","no reason","reason","reason",FALSE,"reasons","reasons","wrong","wrong"
186,110,0,"no tester","Completed (31)","3212316                     ",NA,515,NA,NA,"Yes","Female",21,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Moral norms shouldn’t be violated period                                                                                                                                                                                                                    ",1,"They are family members                                                                                                                                                                                                                                       ",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They are family you love family members but not in a way to have sex                                                                                                                                                                                          ",1,"1: Not at all",7,"0",NA,"No, I am not able to believe this","No, I am not able to believe this","7: Extremely Irritated","7: Extremely confused","7: Extremely","7: Extremely","5","No","No",6,5,6,5,5,6,6,4,6,6,5,4,5,4,4,8,3,8,"Yes","Research methodology                                                                                                                                                                                                                                          ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212269,3212270,3212271,3212272,3212273,3212274,3212275,3212276,3212277,3212312,3212279,3212281,3212282,3212283,3212284,3212285,3212286,3212287,3212288,3212289,3212290,3212291,3212292,3212293,3212294,3212295,3212296,3212297,3212298,3212299,3212300,321230","Flipped","Flipped","control","wrong","wrong","wrong","wrong",4,5,5,4,6,4,6,2,7,92,0.111111111111111,"missing","0",FALSE,"wrong",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
